disposition,period,duration,transit_depth,planet_radius,star_temp,star_radius,model_snr,fp_flag_nt,fp_flag_ss,fp_flag_co,fp_flag_ec,source_kepler,source_tess
1,9.48803557,2.9575,615.8,2.26,5455.0,0.927,35.8,0.0,0.0,0.0,0.0,True,False
1,54.4183827,4.507,874.8,2.83,5455.0,0.927,25.8,0.0,0.0,0.0,0.0,True,False
0,1.736952453,2.40641,8079.2,33.46,5805.0,0.791,505.6,0.0,1.0,0.0,0.0,True,False
1,2.525591777,1.6545,603.3,2.75,6031.0,1.046,40.9,0.0,0.0,0.0,0.0,True,False
1,11.09432054,4.5945,1517.5,3.9,6046.0,0.972,66.5,0.0,0.0,0.0,0.0,True,False
1,4.13443512,3.1402,686.0,2.77,6046.0,0.972,40.2,0.0,0.0,0.0,0.0,True,False
1,2.56658897,2.429,226.5,1.59,6046.0,0.972,15.0,0.0,0.0,0.0,0.0,True,False
0,7.36178958,5.022,233.7,39.21,6227.0,1.958,47.7,0.0,1.0,1.0,0.0,True,False
1,16.06864674,3.5347,4914.3,5.76,5031.0,0.848,161.9,0.0,0.0,0.0,0.0,True,False
1,2.470613377,1.74319,14231.0,13.04,5820.0,0.964,4304.3,0.0,0.0,0.0,0.0,True,False
1,2.204735417,3.88864,6674.7,16.1,6440.0,1.952,5945.9,0.0,1.0,0.0,0.0,True,False
1,3.522498429,3.19843,9145.7,14.59,6225.0,1.451,1741.5,0.0,0.0,0.0,0.0,True,False
1,3.709214104,2.6302,131.1,1.16,5833.0,1.022,50.6,0.0,0.0,0.0,0.0,True,False
0,11.521446064,3.6399,17984.0,150.51,5795.0,0.848,622.1,0.0,1.0,0.0,0.0,True,False
0,19.40393776,12.2155,8918.7,7.18,5043.0,0.68,214.7,0.0,1.0,0.0,0.0,True,False
0,19.221388942,4.79843,74284.0,49.29,6117.0,0.947,2317.0,0.0,1.0,0.0,0.0,True,False
0,16.46983774,9.4378,10479.0,7.94,5152.0,0.786,303.4,0.0,1.0,0.0,0.0,True,False
1,9.27358173,3.2875,1288.3,2.47,4856.0,0.696,87.2,0.0,0.0,0.0,0.0,True,False
1,6.02930329,1.5821,1912.7,2.85,4537.0,0.672,65.4,0.0,0.0,0.0,0.0,True,False
0,2.696370652,3.6129,397.9,1.58,4989.0,0.819,48.2,0.0,1.0,1.0,1.0,True,False
1,5.349553819,3.0278,831.0,2.55,5185.0,0.91,60.6,0.0,0.0,0.0,0.0,True,False
1,3.94105221,2.5984,363.3,1.7,5185.0,0.91,28.9,0.0,0.0,0.0,0.0,True,False
1,8.10904807,3.596,217.4,1.3,5185.0,0.91,14.1,0.0,0.0,0.0,0.0,True,False
0,386.6030528,6.8057,24927.0,41.5,5543.0,1.58,994.0,0.0,1.0,0.0,0.0,True,False
1,21.67699193,3.4555,857.2,2.95,4954.0,0.828,34.3,0.0,0.0,0.0,0.0,True,False
1,4.99677968,2.1717,934.7,2.78,5339.0,0.847,28.2,0.0,0.0,0.0,0.0,True,False
1,4.280963604,2.875,750.8,2.3,5644.0,0.831,61.8,0.0,0.0,0.0,0.0,True,False
0,1.50635409,1.5155,2211.7,4.53,5714.0,0.831,181.1,0.0,0.0,1.0,0.0,True,False
0,670.645531,53.412,18091.0,14.14,5520.0,0.983,642.7,0.0,1.0,1.0,0.0,True,False
0,61.2563628,7.633,5123.3,39.87,6144.0,1.091,85.3,0.0,1.0,0.0,0.0,True,False
1,38.3775486,5.588,724.2,2.82,5481.0,1.036,34.7,0.0,0.0,0.0,0.0,True,False
1,41.19725502,4.6297,2213.9,3.86,5031.0,0.848,51.2,0.0,0.0,0.0,0.0,True,False
