id,name,star_name,orbital_period,radius,ra,dec,duration,transit_depth,model_snr
0,11 Com b,11 Com,324.62,,185.1787793,17.7932516,,,
1,11 UMi b,11 UMi,516.219985,,229.27459540000004,71.8239428,,,
2,14 And b,14 And,186.3,,352.82415,39.2358367,,,
3,14 Her b,14 Her,1766.3784171428572,,242.6021014,43.8163621,,,
4,16 Cyg B b,16 Cyg B,799.375,,295.4656422,50.5168243,,,
5,17 Sco b,17 Sco,578.38,,243.4620874,-11.8377905,,,
6,18 Del b,18 Del,988.075,,314.6078375,10.839137799999998,,,
7,1RXS J160929.1-210524 b,1RXS J160929.1-210524,,18.647,242.3762343,-21.0831403,,,
8,24 Boo b,24 Boo,30.3403,,217.1555242,49.8446488,,,
9,24 Sex b,24 Sex,452.8,,155.8684866,-0.9023998,,,
10,24 Sex c,24 Sex,883.0,,155.8684866,-0.9023998,,,
11,2M0437 b,2MASS J04372171+2651014,,,69.3405531,26.8502997,,,
12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,,,15.8992489,-55.2658291,,,
13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,,11.209,20.7128012,-24.6646128,,,
14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,,16.14096,34.8427046,-39.4230767,,,
15,2MASS J0249-0557 c,2MASS J0249-0557 A,,,42.4851627,-5.9599921,,,
16,2MASS J03590986+2009361 b,2MASS J03590986+2009361,,,59.7911026,20.1599759,,,
17,2MASS J04414489+2301513 b,2MASS J04414489+2301513,,,70.4371079,23.0308544,,,
18,2MASS J11011926-7732383 b,2MASS J11011926-7732383,,,165.3295388,-77.5440912,,,
19,2MASS J11550485-7919108 b,2MASS J11550485-7919108,,,178.7691634,-79.3197558,,,
20,2MASS J12073346-3932539 b,2MASS J12073346-3932539,,,181.8890906,-39.5484399,,,
21,2MASS J19383260+4603591 b,2MASS J19383260+4603591,411.0,,294.6359173,46.0664076,,,
22,2MASS J21252752-8138278 b,2MASS J21252752-8138278,,,321.3662989,-81.6414894,,,
23,2MASS J22362452+4751425 b,2MASS J22362452+4751425,,,339.1025931,47.861683,,,
24,30 Ari B b,30 Ari B,338.5333366666667,,39.2412736,24.6480103,,,
25,4 UMa b,4 UMa,269.78499999999997,,130.0528099,64.3280504,,,
26,47 UMa b,47 UMa,1083.04,,164.8647611,40.4304931,,,
27,47 UMa c,47 UMa,4088.0,,164.8647611,40.4304931,,,
28,47 UMa d,47 UMa,16501.0,,164.8647611,40.4304931,,,
29,51 Eri b,51 Eri,13326.5,,69.4007424,-2.4738245,,,
30,51 Peg b,51 Peg,4.230530379999999,,344.3675399,20.7690958,,,
31,55 Cnc b,55 Cnc,14.632668666666667,,133.1468373,28.3298154,,,
32,55 Cnc c,55 Cnc,44.325675,,133.1468373,28.3298154,,,
33,55 Cnc d,55 Cnc,5000.5599999999995,,133.1468373,28.3298154,,,
34,55 Cnc e,55 Cnc,0.97961003178,1.9681112129999998,133.1468373,28.3298154,1.5752641600000001,0.0387168325,
35,55 Cnc f,55 Cnc,260.81,,133.1468373,28.3298154,,,
36,6 Lyn b,6 Lyn,906.9835,,97.6960311,58.1611753,,,
37,61 Vir b,61 Vir,4.2149350000000005,,199.596455,-18.3157745,,,
38,61 Vir c,61 Vir,38.058350000000004,,199.596455,-18.3157745,,,
39,61 Vir d,61 Vir,123.01,,199.596455,-18.3157745,,,
40,7 CMa b,7 CMa,764.6999999999999,,99.171276,-19.2561808,,,
41,7 CMa c,7 CMa,996.0,,99.171276,-19.2561808,,,
42,70 Vir b,70 Vir,116.68995833333334,,202.1064898,13.7763085,,,
43,75 Cet b,75 Cet,694.26,,38.0391598,-1.0350269,,,
44,75 Cet c,75 Cet,2051.62,,38.0391598,-1.0350269,,,
45,8 UMi b,8 UMi,93.4,,224.201685,74.9009379,,,
46,81 Cet b,81 Cet,979.135,,39.4243555,-3.3963607000000002,,,
47,91 Aqr b,91 Aqr,181.4,,348.9745031,-9.0878076,,,
48,AB Aur b,AB Aur,,,73.9410446,30.5510888,,,
49,AB Pic b,AB Pic,,,94.8039208,-58.0541184,,,
50,AF Lep b,AF Lep,8203.333333333334,,81.7699216,-11.901175200000003,,,
