id,name,ra,dec,star_temp,star_radius,sy_dist
0,11 Com,185.1787793,17.7932516,4755.0,17.181,93.1846
1,11 Com B,185.1807118,17.7951762,4415.0,0.62512,100.158
2,11 Com,185.1787793,17.7932516,4874.0,13.76,93.1846
3,11 Com,185.1787793,17.7932516,,,93.1846
4,11 Com,185.1787793,17.7932516,4675.18,17.407,93.1846
5,11 Com,185.1787793,17.7932516,4705.0,15.781,93.1846
6,11 Com,185.1787793,17.7932516,4830.0,,93.1846
7,11 Com,185.1787793,17.7932516,4742.0,19.0,93.1846
8,11 UMi,229.2745954,71.8239428,4248.7,30.262005,125.321
9,11 UMi,229.2745954,71.8239428,4340.0,24.08,125.321
10,11 UMi,229.2745954,71.8239428,,,125.321
11,11 UMi,229.2745954,71.8239428,4213.0,29.79,125.321
12,11 UMi,229.2745954,71.8239428,4263.77,29.3104,125.321
13,11 UMi,229.2745954,71.8239428,4255.0,27.032,125.321
14,14 And,352.82415,39.2358367,4888.0,11.55,75.4392
15,14 And,352.82415,39.2358367,4689.46,11.2161,75.4392
16,14 And,352.82415,39.2358367,,,75.4392
17,14 And,352.82415,39.2358367,4709.0,10.859,75.4392
18,14 And,352.82415,39.2358367,4826.0,10.3,75.4392
19,14 And,352.82415,39.2358367,4813.0,11.0,75.4392
20,14 And,352.82415,39.2358367,4740.0,11.147492,75.4392
21,14 Her,242.6021014,43.8163621,5338.0,0.93,17.9323
22,14 Her,242.6021014,43.8163621,5282.0,1.003684,17.9323
23,14 Her,242.6021014,43.8163621,,,17.9323
24,14 Her,242.6021014,43.8163621,5388.0,0.96,17.9323
25,14 Her,242.6021014,43.8163621,5255.0,,17.9323
26,14 Her,242.6021014,43.8163621,5518.0,0.8668,17.9323
27,14 Her,242.6021014,43.8163621,5311.0,,17.9323
28,14 Her,242.6021014,43.8163621,5418.0,,17.9323
29,14 Her,242.6021014,43.8163621,,0.96,17.9323
30,14 Her,242.6021014,43.8163621,5280.0,1.00235,17.9323
31,14 Her,242.6021014,43.8163621,5314.94,0.995819,17.9323
32,HIP 96895,295.4529704,50.5243764,,,21.1389
33,16 Cyg B,295.4656422,50.5168243,5711.97,1.159464,21.1397
34,16 Cyg B,295.4656422,50.5168243,5760.0,,21.1397
35,HIP 96895,295.4529704,50.5243764,5781.0,1.26,21.1389
36,16 Cyg B,295.4656422,50.5168243,,,21.1397
37,HIP 96895,295.4529704,50.5243764,,1.26,21.1389
38,16 Cyg B,295.4656422,50.5168243,5674.0,1.17,21.1397
39,16 Cyg B,295.4656422,50.5168243,,1.17,21.1397
40,16 Cyg C,,,,,
41,16 Cyg B,295.4656422,50.5168243,5674.0,,21.1397
42,16 Cyg B,295.4656422,50.5168243,5765.0,,21.1397
43,16 Cyg B,295.4656422,50.5168243,5747.0,1.12827,21.1397
44,16 Cyg B,295.4656422,50.5168243,5774.0,,21.1397
45,16 Cyg B,295.4656422,50.5168243,5750.0,1.13,21.1397
46,16 Cyg B,295.4656422,50.5168243,5772.0,,21.1397
47,HIP 96895,295.4529704,50.5243764,5778.0,1.25012,21.1389
48,16 Cyg B,295.4656422,50.5168243,5751.0,1.08,21.1397
49,16 Cyg B,295.4656422,50.5168243,5777.25,1.1198,21.1397
50,17 Sco,243.4620874,-11.8377905,4364.06,32.0773,124.953
51,17 Sco,243.4620874,-11.8377905,4157.0,25.92,124.953
52,18 Del,314.6078375,10.8391378,4980.0,8.8,76.222
53,18 Del,314.6078375,10.8391378,5074.86,7.81867,76.222
54,18 Del,314.6078375,10.8391378,4979.0,8.5,76.222
55,18 Del,314.6078375,10.8391378,,,76.222
56,18 Del,314.6078375,10.8391378,5054.0,8.0,76.222
57,18 Del,314.6078375,10.8391378,5076.0,,76.222
58,18 Del,314.6078375,10.8391378,5083.75,7.911375,76.222
59,18 Del B,314.6058747,10.8312502,3284.0,,74.812
60,1RXS J160929.1-210524,242.3762343,-21.0831403,3993.0,1.31316,139.135
61,1RXS J160929.1-210524,242.3762343,-21.0831403,4076.58,1.181766,139.135
62,1RXS J160929.1-210524,242.3762343,-21.0831403,4060.0,,139.135
63,1RXS J160929.1-210524,242.3762343,-21.0831403,4060.0,1.352,139.135
